sample_size,iteration,cut_points_x1,cut_points_x2,beta_star
500,27,"[-1.2826252130603648, -0.603144062393094]","[-0.8288863691161347, 0.6338483365085898]","[-1.3754353724257962, 1.1626851635154947, 0.2127502089103015, -0.7292338744154694, 0.5132408960924553, 0.2159929783230144]"
500,28,"[-1.3300899840849976, -0.8751339489055087]","[0.5907552026020972, 1.2291114043000528]","[-0.8864072078054772, 0.8146369169966201, 0.07177029080885716, -1.1142920041822229, 1.6263591902722871, -0.5120671860900642]"
500,29,"[-0.6084747422962138, 0.11792318522786843]","[-1.3024650168938994, -0.8905608757158217]","[-0.3851774799558543, 1.788206693002488, -1.4030292130466337, 0.22058891951878845, 0.9991217893742806, -1.2197107088930688]"
500,30,"[-1.1463768124525544, -0.4693703432954943]","[-0.5594674951590739, -0.14730939730760081]","[-0.441595918822864, 1.0234650884159775, -0.5818691695931135, -0.9417319300681313, 0.8208390360685682, 0.12089289399956288]"
500,31,"[0.06394634597258331, 0.27643298802025135]","[-0.9607709305638679, -0.44391370919161044]","[-0.8357365787433686, 0.9926165327635279, -0.15687995402015958, -0.5438580654925259, 1.131920317854071, -0.588062252361545]"
500,32,"[-0.5086391599171662, 1.1503951679133222]","[-0.5624386121802919, 0.5231672318909382]","[-0.8893388697525434, 1.4356176059807448, -0.5462787362282014, -0.08548221735883854, 1.6112422961396766, -1.5257600787808383]"
500,33,"[-0.6613307035766591, 0.05811187894645456]","[0.5122338644480325, 1.3423141757604018]","[0.08764484205874357, 1.018773432195863, -1.1064182742546065, -0.1299792971626494, 1.2279519643685641, -1.0979726672059147]"
500,34,"[0.08775497868659843, 0.8688286467522149]","[-1.3476782163789207, 0.22202267319706484]","[-0.8096446016734781, 1.479991062587469, -0.670346460913991, -0.24469574455173843, 1.2726816143929065, -1.0279858698411681]"
500,35,"[0.5136940244060562, 1.2215978251085713]","[-0.3635790221881883, -0.13132628405028213]","[-1.160394263117777, 1.1510687275540503, 0.009325535563726728, -1.5663357792431662, 1.903643150004559, -0.3373073707613927]"
500,36,"[0.8920134416472192, 1.2978275600622537]","[0.12509953679072927, 0.9663970513850564]","[-0.7749996500064488, 1.6506054819939342, -0.8756058319874852, -0.3713403429586133, 1.7916289982374844, -1.4202886552788712]"
500,37,"[-0.5648335199768584, 0.8927152630950288]","[0.1111207557662095, 0.8021217939607861]","[-0.05524050262521929, 0.8999981919640885, -0.8447576893388691, -0.6183030962818534, 1.5111583956307282, -0.8928552993488745]"
500,38,"[0.8931516777978847, 1.2585467997212707]","[-0.06145498672667932, 0.13750563850911657]","[-0.9522322813708124, 2.0399892946587856, -1.0877570132879735, -0.798682997136393, 1.260269429575108, -0.4615864324387152]"
500,39,"[-0.8781168982279798, 0.7387226685287958]","[-0.6097072436169686, 1.12979837630226]","[-0.7399105025214847, 1.1114494790150742, -0.37153897649358947, -0.48899648790035066, 1.4266326629771462, -0.9376361750767955]"
500,40,"[-0.34364745721686063, -0.08613135102127784]","[-0.8712135979636371, -0.2969481686159098]","[-1.6060860153346863, 1.5383813340445278, 0.0677046812901585, -1.1122533449815504, 1.364286597190584, -0.2520332522090336]"
500,41,"[-0.053246210144282324, 0.6208944659433102]","[-0.31138758137206024, -0.10388900297113546]","[-0.5119285024313943, 0.9811290102835927, -0.46920050785219836, -0.35024748294595315, 1.9392149805703578, -1.5889674976244048]"
500,42,"[-0.6317753919063857, 0.6376603849971634]","[-1.2705703780788713, 1.3331057586751647]","[-1.0312728868598153, 1.7056854831838328, -0.6744125963240175, -0.5559288335037955, 1.5698572151481136, -1.013928381644318]"
500,43,"[0.5984644388067529, 0.8930599382188034]","[0.06685912930154109, 1.1539314493899477]","[-1.2049865863776925, 1.5371276227804427, -0.33214103640274995, -0.7237480063080085, 1.0553207322507836, -0.3315727259427751]"
500,44,"[0.1154608765961539, 0.5370369409450358]","[-0.8236319279553765, -0.5937701251664571]","[-0.17828052742607503, 0.902952405687218, -0.724671878261143, -0.7606798149586853, 1.1977958319392585, -0.4371160169805735]"
500,45,"[0.5293048920959615, 1.3599408539634459]","[-1.251373850038049, 0.6142882513121947]","[-0.9209448422361576, 1.3182905375621965, -0.3973456953260389, -0.9462109538606269, 2.4305343859303523, -1.4843234320697256]"
500,46,"[-0.6481122813049982, 1.2557262284901756]","[-0.3309887894790274, 0.3570263663437724]","[-0.4351865926589318, 1.459965813539626, -1.0247792208806943, -0.9915675796422108, 1.8138153123857934, -0.8222477327435829]"
500,47,"[-0.3208313455269258, 0.5746789547441693]","[-0.11287031172633857, 1.192062043922554]","[-0.527170082444477, 1.484085253373483, -0.9569151709290059, -0.6141194757940284, 1.2408291900690571, -0.6267097142750288]"
500,48,"[-0.28221295262055457, 0.41034386037537207]","[-0.30821820131876454, 1.3186695568184916]","[-0.7367606044490819, 1.2099358483177625, -0.47317524386868065, -1.2050331303471538, 1.583910128873102, -0.37887699852594847]"
500,49,"[0.2731606247519853, 1.2783460144511258]","[-1.350206278232449, -0.5300814056472734]","[-0.589643319230338, 1.0033717314528738, -0.413728412222536, -1.131217284790154, 1.7382260521859763, -0.6070087673958224]"
500,50,"[-1.3061069501359597, -0.17744063914835873]","[-1.292805366534855, 0.5101213410427741]","[-0.625867815058072, 1.2665589269640125, -0.6406911119059403, -0.4230311688319448, 0.8939779088201396, -0.4709467399881948]"
500,51,"[-0.8095382689693645, -0.2841408218530402]","[-0.942668396895147, 0.29153336129001145]","[-0.9660099752270266, 1.738740852439465, -0.7727308772124384, -0.38024063501484373, 1.4294413950043683, -1.0492007599895246]"
500,52,"[-0.8343920803674614, -0.32192711869353774]","[-1.3294491041159568, -0.9747387560288663]","[-1.2045517825271173, 1.7390504795995816, -0.5344986970724643, -1.3638197098300402, 1.2929297464837226, 0.07088996334631759]"
500,53,"[-1.273878193393808, 0.9088427196780298]","[-1.2756605441343964, -0.6977442609201907]","[-0.7016081378526545, 1.618952647748741, -0.9173445098960864, -0.47153568054871675, 0.9249934219201971, -0.4534577413714803]"
500,54,"[-1.202688675837963, -0.32462269262568866]","[-1.3219958654830553, -0.5636452852717441]","[-0.38168901927323096, 1.1424444236523805, -0.7607554043791497, -1.0246107994572682, 1.600080640262988, -0.5754698408057198]"
500,55,"[-0.23834750807731542, 0.9137797543586936]","[-1.1507164911252974, 0.22980697680244053]","[-0.29864987041751884, 1.0410158365076967, -0.7423659660901778, -0.8419240072605213, 1.5948984651976363, -0.7529744579371151]"
500,56,"[-0.6366388355174224, 1.2647815506712055]","[0.18626681584462274, 0.38420627472777424]","[-0.5582941196881206, 1.0165652019884233, -0.4582710823003027, -0.691884403535014, 1.7583483809071259, -1.0664639773721118]"
500,57,"[0.4104732700483519, 0.6230538398758656]","[-0.49941138696723597, 0.9782808602425688]","[-1.187476020318789, 1.79330562411732, -0.6058296037985308, -1.3472781575631751, 1.1141986477609018, 0.23307950980227315]"
500,58,"[-0.5666196009723399, -0.05158803263212275]","[-0.9411697559667825, 0.09560467367112252]","[-0.4403104701177099, 1.4604774242803356, -1.0201669541626255, -0.6820619450534536, 1.5348741142844275, -0.8528121692309738]"
500,59,"[-0.3373139289559771, 0.16069753760823724]","[-0.5621707756774234, 1.2141236738344938]","[-0.6249495171473648, 1.148841990045563, -0.5238924728981984, -0.6193590811202441, 1.1840746678035308, -0.5647155866832867]"
500,60,"[-1.2606242741293427, 0.47500219232885665]","[-0.13306428243581303, 0.8324427368170702]","[0.03977832030063497, 0.85081533281442, -0.8905936531150549, -0.8396247987434401, 1.4697358319354588, -0.6301110331920184]"
500,61,"[0.6411367384364103, 0.9411251537162334]","[-0.8165983962761182, 0.1773653946864691]","[-0.8275609014889734, 1.832131085502919, -1.004570184013946, -0.17038006907768322, 1.2882255903226327, -1.1178455212449494]"
500,62,"[0.3269946829916198, 0.9153308644799355]","[-0.5876798023265808, -0.30719704861811903]","[-0.13174265957019082, 0.4351538842442493, -0.30341122467405846, -0.842632401121362, 0.954271789726572, -0.11163938860521028]"
500,63,"[-1.3201852048025344, -0.6450995452299464]","[-0.23102247443641566, 0.8636565920087471]","[-0.8811542852375014, 1.1326075948760905, -0.2514533096385892, -0.6257943180219481, 0.9880795343003991, -0.36228521627845106]"
500,64,"[-1.1657968846575828, 1.308289865966743]","[-0.1420342376492823, 0.12046446116771586]","[-1.256011007520475, 1.334731135937781, -0.07872012841730602, -1.3370070662307638, 2.461077932456689, -1.1240708662259253]"
500,65,"[-0.862951253694201, 0.504321371126362]","[-0.9095406160956077, -0.377201156949089]","[-0.20656317384218426, 0.967662785820756, -0.7610996119785719, -0.3569923683566239, 0.6433422037598902, -0.28634983540326625]"
500,66,"[0.8457525196739242, 1.16869886288639]","[-1.3600062473815553, 0.6223649372114926]","[-1.4193642284880077, 1.8188445662112336, -0.3994803377232259, -0.7198026990636408, 1.5767381482959935, -0.8569354492323524]"
500,67,"[-1.3149767262699819, -0.5188769770107248]","[-1.1933443239974275, -0.8809914484326145]","[-1.3506893042342651, 2.3423513530697933, -0.9916620488355281, -0.41869015939662635, 0.9487298091858845, -0.5300396497892581]"
500,68,"[-1.2847687607457738, -0.18308104225707567]","[-0.657573862250824, 0.41135180778800357]","[-1.594379070007255, 1.2423489964014756, 0.3520300736057795, -0.25698730253905244, 0.921341067941395, -0.6643537654023426]"
500,69,"[-0.2702999538310039, 0.8919769725348007]","[-0.8528261964074493, 0.15024388619501405]","[-1.1190683852775527, 1.2933659356188654, -0.17429755034131258, -0.3710420779771107, 0.5956072555189726, -0.22456517754186206]"
500,70,"[-1.234841812531775, -0.5637134602828848]","[-0.3856759387181113, -0.1249475984471814]","[-0.43373836645050445, 0.6702611911831837, -0.23652282473267927, -1.1025743402476267, 1.667797341988742, -0.5652230017411151]"
500,71,"[-0.3337488764969878, 1.4344798048556262]","[-0.3021043607558403, 1.4204761587205037]","[-0.19520713116067823, 0.8921740609718012, -0.6969669298111228, -0.8188284281411973, 1.4656055567690063, -0.646777128627809]"
500,72,"[-0.33165409112861977, -0.1396989170743252]","[-0.1671135593851173, 0.09720576573295518]","[-1.0823874242424707, 1.114265050572354, -0.031877626329883335, -0.45932414132702654, 1.328807102599584, -0.8694829612725576]"
500,73,"[-0.4009505339141073, 0.048563284767208115]","[0.11591076001124388, 0.35807215130594006]","[-0.5898665238538234, 1.1748457669465149, -0.5849792430926916, -0.8867161832195494, 0.9650529757251669, -0.07833679250561754]"
500,74,"[0.543809066299863, 0.8143117064869583]","[-0.5888064679245795, 0.5450178020377117]","[-0.9834195520893724, 1.3269576023561895, -0.3435380502668174, -0.9027791934629855, 1.4987245573283898, -0.5959453638654043]"
500,75,"[-0.31325832635818407, 1.4273959587807]","[-0.5121492755380344, 0.37782135791960614]","[-1.2954150878982587, 1.8552480688159172, -0.5598329809176583, -0.39994691209411476, 1.1457442157663391, -0.7457973036722243]"
500,76,"[-1.37859025257509, -0.11846762771187772]","[-1.216451083831758, 0.5237232610371263]","[-0.6213909446532456, 1.4202853924115724, -0.7988944477583265, -0.6010780543911746, 1.4518518667401343, -0.8507738123489595]"
500,77,"[-0.7897960275796758, -0.08089861590246686]","[-1.2905965388500824, 0.30803789780045265]","[-0.7020436580203261, 1.9899069336994284, -1.2878632756791022, -1.31953427665302, 1.8408584110225759, -0.5213241343695557]"
500,78,"[0.09590418882451648, 1.2186307426456287]","[-0.14093654691145738, 0.8456325592324955]","[-1.1249031100843478, 1.6522984932476203, -0.5273953831632725, -0.465523462753132, 1.6297819160207507, -1.164258453267619]"
500,79,"[-0.3028998082358621, 1.166779188857982]","[-0.09587675846925997, 1.3084415088411103]","[-0.6484609536007268, 1.0493990510848086, -0.4009380974840816, -0.9517065858148656, 1.6061978376099115, -0.6544912517950457]"
500,80,"[-0.6924550954083759, 0.7319215443892205]","[-0.8363862051520522, 0.8614652980663469]","[-1.0127826759549956, 2.0562581500157364, -1.0434754740607406, -0.15506008584337422, 1.1471512314239771, -0.9920911455806027]"
500,81,"[-1.512070365318225, -0.18056463593657957]","[-0.7030626707704086, 0.3064396183546698]","[-0.3203168883430591, 1.1387785428772275, -0.8184616545341683, -0.10556280108180541, 0.4581842826022627, -0.3526214815204573]"
500,82,"[-0.06033981057590493, 0.6077406383589272]","[-0.8049591605231912, 0.67367377698081]","[-0.7169852123645739, 1.425938445186633, -0.7089532328220594, -1.1937563422055264, 1.3541372415186619, -0.16038089931313532]"
500,83,"[-0.6408214965608554, 1.2805640761929438]","[-0.4274327395587087, -0.19574123361129667]","[-1.0819618251160148, 1.4873978303827424, -0.4054360052667278, -0.6072341225213108, 0.6059495900507705, 0.0012845324705402783]"
500,84,"[-0.9292974760816815, -0.6395528796829304]","[-1.3220968786714504, -0.1461542398319425]","[-0.7849599380732861, 1.2995827996749585, -0.5146228616016724, -1.0681593915418863, 1.1301979770461479, -0.062038585504261695]"
500,85,"[-0.6156540534969095, -0.3804227437304812]","[-0.7817942760579979, 0.7928750410655219]","[-0.4769810579791164, 1.4968671743329403, -1.019886116353824, -0.8302350157783147, 2.1217530983215003, -1.2915180825431853]"
500,86,"[-0.6021520488405077, 0.8001917202753287]","[-0.2967786704215465, 0.14879465189506375]","[-0.6171636479391378, 1.4889978571734042, -0.8718342092342665, -0.6529683770932428, 1.1383374568476883, -0.48536907975444543]"
500,87,"[-1.3133941191847107, 0.8727450017573932]","[-0.3952274059146074, 0.0612228829008688]","[-1.2073855012889896, 1.6178359725492522, -0.41045047126026274, -1.8369109671245063, 1.7002645926961826, 0.13664637442832395]"
500,88,"[-0.6240251858526298, -0.3827066876918041]","[-0.3535358473455859, -0.0999991419760079]","[-0.22831869074509287, 1.26505484820651, -1.0367361574614171, -0.8825374531708626, 1.4223761526973406, -0.539838699526478]"
500,89,"[-0.044284859333731635, 0.43805711652818985]","[0.44619151841009547, 1.3618469269017763]","[-0.9363088763996879, 1.1643664472923034, -0.22805757089261566, -0.8044780208359066, 1.0705718908475443, -0.26609387001163787]"
500,90,"[0.13167862053292495, 1.2431971191849005]","[-0.2489720103661407, 1.3641851732203438]","[-0.014261782706348258, 0.8589915676916325, -0.8447297849852841, -1.0514813748243566, 1.16709119387887, -0.11560981905451329]"
500,91,"[-0.4058726261435379, 0.3109286590852854]","[0.14273498024300446, 0.8838997566064574]","[-0.0075152641357543876, 0.7293901444040852, -0.7218748802683309, -0.6832494005194695, 1.4695198149916393, -0.7862704144721698]"
500,92,"[0.8271997183994355, 1.283435287319845]","[-1.272592373189905, -0.6470164696229395]","[-0.5428436658986496, 1.2053506907081202, -0.6625070248094704, -1.0196624705925368, 1.3484246083488536, -0.3287621377563167]"
500,93,"[-0.9306242441923152, -0.34749436128472133]","[-0.07858380442999047, 0.6008294998763912]","[-0.9105877197516246, 0.8479023392249515, 0.06268538052667312, -1.1272184159712713, 1.393479370248894, -0.2662609542776226]"
500,94,"[-0.7086246941121721, -0.11196371336799249]","[-0.2934121143874012, 0.6211306228673591]","[-0.14082671391107038, 1.049701076544497, -0.9088743626334267, -0.9950173490551311, 2.2538839481944586, -1.2588665991393275]"
500,95,"[0.08790677706726602, 0.5817441309744649]","[-0.733591387091434, 1.246543209078034]","[0.16402297357248868, 0.5432384642193693, -0.707261437791858, -0.5038393500957861, 0.9007158504944828, -0.39687650039869665]"
500,96,"[-0.01740010284609461, 0.7555100332719625]","[-1.255191245936691, 0.3256531156397269]","[0.0341576708170277, 0.7475323306015865, -0.7816900014186142, -0.6889052784239941, 0.9689061210211687, -0.2800008425971744]"
500,97,"[-0.6754908162842994, 0.6497287031507945]","[-0.1013698423845768, 1.2071390370896744]","[-0.641436933380094, 0.9026870643627571, -0.2612501309826632, -0.27305650410898846, 0.9173628112766273, -0.6443063071676389]"
500,98,"[-0.10986763798778576, 0.28638030470532727]","[-1.3435412417509602, -0.8873006087483757]","[-1.058282243298815, 0.9751208337586859, 0.08316140954012935, -0.06215493534948158, 1.2517335683211983, -1.1895786329717168]"
500,99,"[-0.19581415492560678, 1.3298073152856469]","[-1.379900756159311, -0.6040627922359334]","[-1.0444704789657222, 1.3189808125908442, -0.27451033362512206, -0.4709881771253828, 0.57915482242426, -0.10816664529887716]"
500,100,"[-0.5975919979816453, 0.971871834150502]","[-0.5776508508569784, 0.0684874127337263]","[-1.3839825660682483, 1.789827484215231, -0.4058449181469828, -1.1887557141351628, 1.358683341881602, -0.16992762774643935]"
1000,1,"[-0.5977795699338536, 0.5421520469595598]","[-1.3298901460684844, 0.25227906441572917]","[-0.29414044345274726, 0.807338920025551, -0.5131984765728038, -0.5376691554476907, 1.2109801419346942, -0.6733109864870035]"
1000,2,"[0.8851103483184947, 1.1988545890103957]","[-0.8764138127010672, 0.3952361199493816]","[-0.8325578520906067, 1.8295637836061927, -0.9970059315155861, -0.7473294010773149, 1.2190523215382978, -0.47172292046098274]"
1000,3,"[-0.6144771983638311, 0.10644124190233584]","[-0.3130542317195595, 0.5737752742012171]","[-1.1111332265331708, 1.4692757105436498, -0.35814248401047916, -0.14097446951148226, 0.7612652788076439, -0.6202908092961618]"
1000,4,"[0.8996182807107498, 1.3118459979372188]","[-1.2656358628733426, -0.8748667732052997]","[-1.1549514077622551, 1.07168498571077, 0.08326642205148516, -1.0216182758362893, 2.0457929974029736, -1.0241747215666845]"
1000,5,"[-0.6008859946889259, -0.3447948690088579]","[0.1334463759040484, 1.3025363369332326]","[-0.4357159080379214, 1.2001370995398901, -0.7644211915019689, -0.7122075263258516, 1.1507955000775303, -0.4385879737516786]"
1000,6,"[-1.3168349207130046, -0.592758375046768]","[-0.34830799202372936, -0.07854804677392432]","[-0.21502526167120686, 1.0379773669281214, -0.8229521052569145, -0.6239018610071817, 1.743176886630794, -1.1192750256236124]"
1000,7,"[0.11648342846176474, 0.8748342966940688]","[-1.1907412968865518, 0.4300260225511682]","[-0.00017855257771119681, 0.48417342043480655, -0.4839948678570954, -0.9963272234076664, 1.9055898002927087, -0.9092625768850425]"
1000,8,"[0.09612125970472463, 0.8837653984666984]","[-0.25758122460308486, 0.4144449341265872]","[-0.7221942487125821, 1.1928552343502528, -0.4706609856376706, -1.0330799017304282, 1.4830372746973186, -0.4499573729668905]"
1000,9,"[0.5984011425633766, 1.2271135202776888]","[-0.40923562287113335, 0.08909724237566541]","[-0.831013308472855, 1.6133241790569204, -0.7823108705840656, -0.42269645329562194, 1.619037588903208, -1.1963411356075861]"
1000,10,"[0.07062143092961379, 0.34817627291617553]","[-1.3504741689955664, 0.6259981879000343]","[-0.8685070739315974, 1.5774959817270935, -0.7089889077954961, 0.06457934391711462, 1.3282965124871553, -1.3928758564042698]"
1000,11,"[-0.048981378778192, 0.6517737242189082]","[-0.5574343374694557, -0.3014124120352012]","[-1.1658477306436652, 1.1749502438725485, -0.00910251322888319, -0.02806896502380829, 0.8799061028307725, -0.8518371378069644]"
1000,12,"[-0.16454860637565638, 0.8192885128174003]","[-0.8706449502467143, -0.3633841945562133]","[-0.085802610157415, 0.9348129822759077, -0.8490103721184926, -0.4730555367804215, 1.5767563081951175, -1.103700771414696]"
1000,13,"[-0.8400911488233969, -0.5763657043202641]","[-0.2842126799021882, 0.5863916648304297]","[-0.6562931762454861, 1.3385237093885767, -0.6822305331430907, -1.322124788365111, 1.1521271722314477, 0.16999761613366335]"
1000,14,"[-0.3405139001519739, 0.3418654542024092]","[-0.08935544726492406, 1.293148724364024]","[-0.9377805940336115, 1.8331736428158094, -0.8953930487821979, -0.5380143074464254, 2.121912539900916, -1.5838982324544904]"
1000,15,"[-1.3149269012599105, -0.3382222901213463]","[0.09655389695831862, 0.34003077676308346]","[-0.7749610357317361, 1.8946913240467473, -1.1197302883150113, -0.5787104610502026, 1.5882879761366844, -1.0095775150864819]"
1000,16,"[-0.3933101597976727, 0.11101912818605114]","[-0.316044551418946, 0.8681536572792268]","[-1.0189658815912286, 1.7792612429680421, -0.7602953613768136, -0.4250542085904777, 1.2212528812347303, -0.7961986726442525]"
1000,17,"[-0.35170042486474423, 0.14715959716566848]","[-0.6449798041581255, 1.2519697341676606]","[-1.1042829119149764, 1.7492284177697903, -0.6449455058548139, -0.9284370397463129, 1.069986091901339, -0.1415490521550264]"
1000,18,"[-0.3266030608820456, -0.08477684967624909]","[-0.8384809677947003, -0.09605611620703447]","[-0.6607469107164176, 1.398474494608899, -0.7377275838924812, -0.17610803122437624, 1.5999485113456617, -1.4238404801212856]"
1000,19,"[-0.942719172816905, -0.3573879133003625]","[-0.11826860216479995, 0.6430832592190148]","[-0.4053496587812482, 1.6159234384642487, -1.2105737796830005, -0.04943660444152034, 0.9195143253722169, -0.8700777209306965]"
1000,20,"[0.6470952923284129, 0.9203655564646996]","[-0.5983591499197116, 0.8560183876087543]","[-0.36033608770736736, 1.0213380215653756, -0.6610019338580082, -0.4584133082826305, 1.1819349215447073, -0.7235216132620769]"
1000,21,"[-0.6541898288782475, 1.2113287379027733]","[-0.15011974183677593, 1.2518900061682432]","[-0.07283407046047047, 0.9534902771311717, -0.8806562066707011, -1.6130407166570326, 1.553144668365082, 0.05989604829195039]"
1000,22,"[-1.3473281694634738, 0.8756856324832775]","[-0.35401448631847393, 0.8808725834478968]","[-0.034973811271379496, 0.6444775293702696, -0.6095037180988903, -0.10133929302218847, 1.0590622468152442, -0.9577229537930558]"
1000,23,"[0.5781578697012536, 0.928048260704218]","[-0.4935800510159152, 1.2968540238716018]","[-1.5373644824277526, 1.654034320649769, -0.11666983822201638, -0.15580322351434947, 1.341622218536805, -1.1858189950224554]"
1000,24,"[-0.11161457385180679, 0.9603593614482365]","[0.11876279806508883, 0.3393475901412982]","[-0.954717966985401, 1.7043781643710045, -0.7496601973856035, -0.9424111142237497, 1.504172236101609, -0.5617611218778591]"
1000,25,"[-1.2651241614785167, 1.2482429184524453]","[-0.9951543975053302, 0.5893496220230079]","[-0.645853316001559, 1.2463200174383615, -0.6004667014368027, -0.551743130815318, 1.3056546194823917, -0.7539114886670738]"
1000,26,"[0.13770951441167262, 0.35827790140745563]","[-0.3367834777634522, 0.1585152562456963]","[-0.9009024267555434, 1.2562955166307215, -0.35539308987517787, -0.3382120585191014, 1.3735805451295497, -1.0353684866104484]"
1000,27,"[0.6014808758700192, 0.832494308263377]","[0.718356698414817, 1.3865855587153597]","[-0.15084017533158595, 0.887948769828776, -0.7371085944971901, 0.17549896598370746, 0.5131998115129903, -0.6886987774966977]"
1000,28,"[0.15885105121105653, 0.6710187469752336]","[-0.07423516181674689, 0.1743578565942856]","[-0.8959560217699699, 1.2510889163167684, -0.3551328945467984, -0.7487020105849181, 1.2486203957926096, -0.4999183852076914]"
1000,29,"[-0.8277858210225468, 0.11136296119375212]","[0.5652055182540104, 0.8528268338262635]","[0.17674463694205467, 0.8800465387411556, -1.0567911756832102, -0.6439258036647849, 1.5154926225769458, -0.8715668189121609]"
1000,30,"[0.9015668257780207, 1.3154573028634116]","[-1.2414027146718711, 0.5816794843816688]","[-0.6274870516161114, 1.1788475771993798, -0.5513605255832686, -1.1493058264994176, 1.3320214817966982, -0.1827156552972813]"
1000,31,"[-0.8108116004169477, -0.479035445571227]","[0.5646160454929461, 1.3134053787267004]","[-0.7995277534682219, 1.5539761661852327, -0.7544484127170109, -0.46813865369965435, 1.077756591708633, -0.6096179380089785]"
1000,32,"[-0.09191755461680129, 0.3420710310753145]","[-1.2709009416508616, 1.3641488598093787]","[-1.1279842043842612, 1.4228429609242457, -0.2948587565399845, -0.28841200121276767, 0.5672668659011538, -0.27885486468838616]"
1000,33,"[-0.6312269946318916, 0.38129446917104953]","[-1.2792276448691688, 0.11667446392088743]","[-0.029462311604308622, 0.6498591135047143, -0.6203968019004058, -1.3323288598869227, 1.7549623500045233, -0.4226334901176005]"
1000,34,"[-1.2439431616325354, 1.2961353599406158]","[-0.8953911410951823, 0.6319093703777915]","[-0.20602490047556155, 1.1183830007040356, -0.912358100228474, -0.5644061470126706, 1.6025067311898655, -1.038100584177195]"
1000,35,"[-0.1226037142947149, 1.2696001522139841]","[-0.6582533547328476, 1.2652547468527036]","[-0.7522459437132393, 1.640401531712997, -0.8881555879997577, -0.597050493483216, 1.3454520382095225, -0.7484015447263063]"
1000,36,"[-0.9252605402723559, 0.8870096576165589]","[-0.13530450376844644, 0.592640951146051]","[-0.5479803923550959, 1.0280533618780048, -0.4800729695229087, -0.6713772702564165, 1.103396668937979, -0.43201939868156264]"
1000,37,"[0.3959024965295476, 1.2849429392770628]","[-0.8979999683695071, -0.355814163282269]","[-0.258594260285033, 0.5819394957254602, -0.3233452354404272, -0.5652716999303047, 1.0979182447296256, -0.532646544799321]"
1000,38,"[-1.2599311053074933, -0.13916866396164718]","[-0.37605978558142217, 0.8592893540741442]","[-0.2980064759909298, 0.998752460656696, -0.7007459846657662, -0.3130959680399422, 0.6392556106788418, -0.3261596426388995]"
1000,39,"[-1.303771355712258, 0.8636973037780011]","[-0.11293143996262353, 0.08817571333404073]","[-0.4529019986439884, 1.254552992219593, -0.8016509935756047, -0.7906096634113954, 1.5198053226320634, -0.7291956592206679]"
1000,40,"[-0.1142750459036469, 1.2720888665570822]","[0.12157902921031682, 0.8710255113779637]","[-0.1485906107412021, 1.2209568157572563, -1.072366205016054, -0.9205217797814408, 1.4723428009387796, -0.5518210211573386]"
1000,41,"[-0.37403827307819953, 1.2181914305902581]","[-1.1754928567489873, -0.8180659754880214]","[-0.9269370450195222, 1.4173403640470412, -0.49040331902751894, 0.013653876994909164, 0.7483161902622294, -0.7619700672571386]"
1000,42,"[-0.668171482973412, 0.8433598855888669]","[-0.06558132155702512, 0.5398183629122869]","[-0.9286818828689326, 0.9854869020123321, -0.05680501914339953, -1.0698520780853387, 1.8803328298275634, -0.8104807517422249]"
1000,43,"[-0.07564045291517839, 0.39322697510742277]","[-0.16491226477228843, 0.30232632941437754]","[-0.6535374541035761, 1.3883739137410347, -0.7348364596374586, -0.3826657364465651, 1.4441896199667663, -1.0615238835202012]"
1000,44,"[-0.525407942736305, 0.5733502796694346]","[-0.5941244384293474, 0.37086454936723806]","[-0.44979361929029277, 2.144375137051662, -1.6945815177613692, -0.7966379652275778, 1.1742134521437548, -0.37757548691617726]"
1000,45,"[0.09706866183094665, 1.2793721880159894]","[-0.29898743629125635, 1.2847850112886834]","[-0.8583642466430026, 2.199157607799513, -1.3407933611565104, -1.3703544356658282, 1.7916927206629396, -0.42133828499711157]"
1000,46,"[0.28634559625810174, 0.816124286326644]","[-0.37472900809551213, 0.08508421996521115]","[-0.16154056180641374, 0.5697185773962644, -0.40817801558985056, -1.1361652670860936, 1.1383905507708822, -0.002225283684788526]"
1000,47,"[0.28126072302702737, 0.8366816628765384]","[-0.914319258496439, 0.08240473685993988]","[-0.8380919708742487, 2.081594088475769, -1.2435021176015202, -0.46855077561876557, 1.5436310064680887, -1.0750802308493232]"
1000,48,"[-0.3490773652867809, 0.35300994757968407]","[-0.3736362311975815, 0.09450594309193455]","[-0.5134344934487188, 1.4778756083190552, -0.9644411148703363, -0.7966810429865722, 1.5287998519089792, -0.7321188089224072]"
1000,49,"[-0.5920319286337226, -0.11038440086090828]","[-0.25450135014899616, 1.3316667481763016]","[-0.7080027726874045, 1.7272685914332866, -1.0192658187458823, -0.6213864462244665, 0.8135550255658422, -0.19216857934137577]"
1000,50,"[0.3279864514508568, 1.2325314821370787]","[-0.6321163450526824, 0.8372247095444616]","[-1.3171945708033252, 1.596561719744275, -0.2793671489409499, -0.09079583151040393, 1.272958479125271, -1.182162647614867]"
1000,51,"[0.5446127009092327, 1.2033231138971674]","[-0.381151000976945, 0.7994288777463161]","[-0.9179629708918278, 1.408819982894718, -0.4908570120028904, -0.5869119385595034, 1.3673991481742884, -0.780487209614785]"
1000,52,"[0.14492553938742997, 0.9241307806370791]","[-0.5568318379321211, 0.8798420702333001]","[-0.43350399121973504, 0.9773537120789829, -0.5438497208592478, -0.8892758204358355, 1.4331008429314374, -0.5438250224956018]"
